5, 0.000003, 0.000003, 0.000008
7, 0.000006, 0.000005, 0.000006
9, 0.000014, 0.000012, 0.000006
11, 0.000059, 0.000054, 0.000010
13, 0.000147, 0.000149, 0.000010
15, 0.000253, 0.000269, 0.000010
17, 0.001184, 0.001242, 0.000018
19, 0.001446, 0.001692, 0.000015
21, 0.006512, 0.004781, 0.000009
23, 0.002021, 0.002539, 0.000008
25, 0.024794, 0.025995, 0.000013
27, 0.096000, 0.105880, 0.000017
29, 0.099067, 0.108001, 0.000013
31, 0.274861, 0.302724, 0.000000, 0.000014, 0.000139
