5, 24, 0.000003, 16, 0.000004, 16, 0.000003, 16, 0.000009, 16, 0.000004, 16, 0.000005, 16
5, 30, 0.000003, 8, 0.000003, 8, 0.000002, 8, 0.000013, 8, 0.000003, 8, 0.000003, 8
5, 15, 0.000002, 12, 0.000003, 12, 0.000002, 12, 0.000005, 12, 0.000003, 12, 0.000003, 12
5, 24, 0.000003, 20, 0.000002, 20, 0.000002, 20, 0.000005, 20, 0.000004, 20, 0.000002, 20
7, 22, 0.000006, 19, 0.000006, 19, 0.000005, 19, 0.000007, 19, 0.000005, 19, 0.000003, 19
7, 25, 0.000006, 14, 0.000006, 14, 0.000004, 14, 0.000008, 14, 0.000004, 14, 0.000003, 14
7, 29, 0.000006, 17, 0.000005, 17, 0.000003, 17, 0.000007, 17, 0.000003, 17, 0.000002, 17
7, 22, 0.000005, 16, 0.000005, 16, 0.000003, 16, 0.000004, 16, 0.000004, 16, 0.000001, 16
9, 18, 0.000015, 20, 0.000012, 20, 0.000007, 20, 0.000006, 20, 0.000004, 20, 0.000003, 20
9, 25, 0.000017, 24, 0.000015, 24, 0.000006, 24, 0.000007, 24, 0.000005, 24, 0.000003, 22
9, 18, 0.000014, 23, 0.000012, 23, 0.000004, 23, 0.000005, 23, 0.000005, 23, 0.000003, 23
9, 16, 0.000010, 20, 0.000010, 20, 0.000008, 20, 0.000005, 20, 0.000005, 20, 0.000003, 20
11, 22, 0.000053, 28, 0.000049, 28, 0.000010, 28, 0.000017, 28, 0.000007, 28, 0.000003, 27
11, 28, 0.000055, 28, 0.000060, 28, 0.000010, 28, 0.000009, 28, 0.000007, 28, 0.000003, 28
11, 26, 0.000081, 24, 0.000053, 24, 0.000009, 24, 0.000008, 24, 0.000006, 24, 0.000003, 24
11, 25, 0.000049, 25, 0.000054, 25, 0.000014, 25, 0.000008, 25, 0.000006, 25, 0.000004, 25
13, 24, 0.000146, 31, 0.000142, 31, 0.000021, 31, 0.000009, 31, 0.000008, 31, 0.000004, 31
13, 28, 0.000165, 37, 0.000165, 37, 0.000022, 37, 0.000010, 37, 0.000009, 37, 0.000003, 37
13, 28, 0.000166, 29, 0.000172, 29, 0.000016, 29, 0.000011, 29, 0.000007, 29, 0.000004, 29
13, 24, 0.000110, 26, 0.000118, 26, 0.000028, 26, 0.000011, 26, 0.000009, 26, 0.000004, 26
15, 26, 0.000475, 46, 0.000506, 46, 0.000042, 46, 0.000013, 46, 0.000014, 46, 0.000005, 46
15, 20, 0.000241, 32, 0.000249, 32, 0.000063, 32, 0.000009, 32, 0.000011, 32, 0.000004, 32
